acteurs,annee,description,duree,genre,nombreDeSaisons,nombreEpisodes,paysOrigine,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Alan Ritchson,Maria Sten,Serinda Swan",Depuis 2022,"Ancienne recrue de l'armée américaine, Jack Reacher s'est retiré de la police militaire. Son voyage à travers le pays l'amène à s'impliquer dans de périlleuses enquêtes.",60 min,"Action,Policier,Thriller",3 Saisons,24 Episodes, U.S.A.,Nick Santora,"3,2","4,0",Reacher,
"Ariane Labed,Suzy Bemba,Anne Alvaro",Depuis 2021,"A l’Opéra de Paris, Zoé, danseuse étoile de 35 ans à la carrière fulgurante, vit aujourd’hui dans l’excès : trop de fêtes, d’amants, d’angoisses… Parce qu’elle n’a plus le niveau, on veut la renvoyer, mais Zoé va se battre contre l’institution, ses pairs et surtout contre elle-même pour décrocher une seconde chance. A ses côtés, Flora, 19 ans, une jeune danseuse noire, vient de rejoindre le corps de ballet et n’a que quelques mois pour s’intégrer et faire ses preuves. Et Sébastien, 38 ans, le tout nouveau Directeur de la Danse, flamboyant et ambitieux, qui veut faire briller l’Opéra au firmament de la danse mondiale…",52 min,Drame,2 Saisons,16 Episodes, France,"Cécile Ducrocq,Benjamin Adam","3,4","3,8",L’Opéra,
"Chandra Wilson,Ellen Pompeo,Chandra Wilson",Depuis 2005,"Meredith Grey, fille d'un chirurgien très réputé, commence son internat de première année en médecine chirurgicale dans un hôpital de Seattle. La jeune femme s'efforce de maintenir de bonnes relations avec ses camarades internes, mais dans ce métier difficile la compétition fait rage...",42 min,"Drame,Médical",21 Saisons,435 Episodes, U.S.A.,Shonda Rhimes,"3,2","3,9",Grey's Anatomy,
"Mathieu Kassovitz,Mathieu Kassovitz,Sara Giraudeau",2015 - 2020,"Au sein de la DGSE (Direction Générale de la Sécurité Extérieure), un département appelé le Bureau des légendes (BDL) pilote à distance les agents les plus importants des services de renseignements français : les clandestins. En immersion dans des pays hostiles, leur mission consiste à repérer les personnes susceptibles d'être recrutées comme source de renseignements. Opérant dans l'ombre ""sous légende"", c'est-à-dire sous une identité fabriquée de toutes pièces, ils vivent durant de longues années dans une duplicité permanente.,De retour d'une mission clandestine de six années à Damas, notre héros - plus connu sous le nom de code Malotru - est promu au sein du BDL et reprend peu à peu pied dans sa vraie vie. Mais contrairement à toute procédure de sécurité, il semble ne pas abandonner sa légende et l'identité sous laquelle il vivait en Syrie...",52 min,"Drame,Espionnage",5 Saisons,50 Episodes, France,Eric Rochant,"3,3","4,4",Le Bureau des Légendes,
"Adam Scott,Zach Cherry,Britt Lower",Depuis 2022,"Mark Scout travaille pour Lumon Industries, où il dirige une équipe dont les employés subissent une opération chirurgicale de séparation entre leurs souvenirs liés à leur vie professionnelle et ceux liés à leur vie privée. Cette expérience risquée de l’équilibre entre travail et vie personnelle est remise en cause lorsque Mark se retrouve au cœur d’un mystère qui le forcera à affronter la vraie nature de son travail… et la sienne.",60 min,"Drame,Thriller",2 Saisons,18 Episodes, U.S.A.,Dan Erickson,"4,0","4,4",Severance,
"Shemar Moore,Shemar Moore,Jay Harrington",2017 - 2024,"Un lieutenant du S.W.A.T est tiraillé entre sa loyauté envers ses origines modestes, dont ses amis de la rue avec qui il a grandi et qui n'ont pas aussi bien tourné que lui, et son devoir envers ses co-équipiers...,Une dualité qui finit par prendre tout son sens lorsqu'il se voit chargé d'organiser une unité hautement qualifiée pour protéger les citoyens de Los Angeles., de la série ""Section 4"" (1975-1976) avec Steve Forrest et Robert Urich.",42 min,"Action,Policier,Drame",8 Saisons,141 Episodes, U.S.A.,"Shawn Ryan,Aaron Rahsaan Thomas","2,6","3,8",S.W.A.T. (2017),
"Jean Dujardin,Charlotte Gainsbourg,Nicole Garcia",Depuis 2023,"Renouant avec un père qu’il connaissait à peine, Alphonse, un quadragénaire en pleine déroute professionnelle et conjugale, se découvre une surprenante vocation. Sa trajectoire va alors croiser celle d’une galaxie de femmes plus passionnantes et excentriques les unes que les autres, le plongeant au cœur d’une histoire à la fois périlleuse, transgressive et pleine de tendresse.",50 min,"Comédie,Drame,Romance",1 Saison,6 Episodes, France,Nicolas Bedos,"4,2",,Alphonse,
"Anthony Bajon,Melvin Boomer,Andranic Manet",2022,"Le monde de demain raconte la naissance du mouvement hip-hop français dans les années 1980, à travers la naissance du groupe mythique NTM, et de la danseuse et graffeuse Lady V, le parcours du DJ pionnier Dee Nasty et de sa compagne Béatrice jeune Parisienne rebelle et frondeuse. Réalisée par Katell Quillévéré et Hélier Cisterne, une saga joyeuse, rebelle et explosive aux personnages attachants, qui embrasse la révolution culturelle d’une jeunesse en quête de reconnaissance.",52 min,"Biopic,Musical",1 Saison,6 Episodes, France,"Katell Quillévéré,Hélier Cisterne,David Elkaïm","4,4","4,1",Le Monde de demain,
"Michiel Huisman,Carla Gugino,Elizabeth Reaser",2018,"Plusieurs frères et sœurs qui, enfants, ont grandi dans la demeure qui allait devenir la maison hantée la plus célèbre des États-Unis sont contraints de se retrouver pour faire face à cette tragédie ensemble. La famille doit enfin affronter les fantômes de son passé, dont certains sont encore bien présents dans leurs esprits alors que d’autres continuent de traquer Hill House.",60 min,"Drame,Epouvante-horreur",1 Saison,10 Episodes, U.S.A.,Mike Flanagan,"4,1","4,4",The Haunting of Hill House,
"Bailee Madison,Chandler Kinney, Zaria",Depuis 2022,"Reboot de la série ""Pretty Little Liars"" (2010-2017)., ,Il y a vingt ans, une série d'événements tragiques a failli déchirer la ville ouvrière de Millwood. Aujourd'hui, un groupe d'adolescentes se retrouve tourmenté par un harceleur inconnu et doit payer pour le péché secret commis par leurs parents il y a vingt ans... ainsi que pour le leur., ",60 min,Drame,2 Saisons,20 Episodes, U.S.A.,"Roberto Aguirre-Sacasa,Lindsay Calhoon Bring","4,0","3,2",Pretty Little Liars: Original Sin,
"Al Pacino,Logan Lerman,Jerrika Hinton",2020 - 2023,"En 1977 à New York, une bande de chasseurs de nazis découvre que des centaines de hauts dignitaires du régime déchu vivent incognito parmi eux et complotent pour instaurer un IVe Reich aux États-Unis. L’équipe hétéroclite de Hunters se lance alors dans une sanglante quête visant à faire traduire ces criminels en justice et à contrecarrer leur projet de génocide.",60 min,"Drame,Thriller",2 Saisons,18 Episodes, U.S.A.,David Weil,"2,6","3,8",Hunters,
"Hugh Bonneville,Michelle Dockery,Maggie Smith",2010 - 2015,"Les héritiers de Downton Abbey ayant péri lors du naufrage du Titanic, la famille Crawley se retrouve dans une position délicate, les trois descendantes ne pouvant prétendre au titre de Lord Grantham. Or, le titre, le domaine et la fortune de la famille sont indissociables. Matthew Crawley, nouveau successeur et lointain cousin, arrive à Downton Abbey. Il y découvre un style de vie nouveau, avec des règles très strictes qui régissent la vie entre aristocrates et serviteurs.",58 min,"Drame,Historique",6 Saisons,52 Episodes, Grande-Bretagne,Julian Fellowes,"4,4",,Downton Abbey,
"Jennie Garth,Ian Ziering,Brian Austin Green",1990 - 2000,"Beverly Hills, Californie : un groupe de lycéens doit jongler entre amitié, amour, crises et drames, avant d'accéder à l'université puis d'entrer dans la vie adulte.",42 min,Drame,10 Saisons,295 Episodes, U.S.A.,Darren Star,"1,9",,Beverly Hills,"Beverly Hills, 90210"
"Temuera Morrison,Ming-Na Wen",Depuis 2021," de The Mandalorian centré sur les aventures du légendaire chasseur de primes Boba Fett et de la mercenaire Fennec Shand. Après s’être hasardés dans les bas-fonds de la galaxie, tous deux reviennent au milieu des dunes de Tatooine pour y revendiquer le territoire autrefois dirigé par Jabba le Hutt et son syndicat du crime...",45 min,"Action,Science Fiction",1 Saison,7 Episodes, U.S.A.,"Dave Filoni,Jon Favreau","3,1","3,1",Le Livre de Boba Fett,The Book of Boba Fett
"Justin Theroux,Amy Brenneman,Christopher Eccleston",2014 - 2017,"Du jour au lendemain, un 14 octobre en apparence ordinaire, 2% de la population disparaît mystérieusement de la surface de la terre. Ces gens, de tout âge, se sont évanouis dans la nature, sans explication, laissant leurs proches dans l'angoisse, voire le désespoir.,Trois ans plus tard, la vie a repris son cours dans la bourgarde de Mapleton, une petit ville près de New York, mais rien n'est plus comme avant. Personne n'a oublié ce qui s'est passé, ni ceux qui ont disparu. A l'approche des cérémonies de commémoration, le chef de la police locale, Kevin Garvey, est en état d'alerte maximale : des affrontements dangereux se préparent entre la population et un groupuscule comparable à une secte...",60 min,Drame,3 Saisons,28 Episodes, U.S.A.,,"3,3","4,3",The Leftovers,
" Miou-Miou,Virginie Ledoyen,Clotilde Hesme",2021,"Amoureuse d’André et libérée de ses trois filles qu’elle adore, Nona, 70 ans, vit sa vie à plein tube au cœur de la Goutte d’Or. Jusqu’au jour où le docteur Truffe lui annonce qu’elle est enceinte…",30 min,Comédie dramatique,1 Saison,9 Episodes," France, Allemagne","Valérie Donzelli,Clémence Madeleine-Perdrillat","3,8","3,6",Nona et ses filles,
"Neil Patrick Harris,Tisha Campbell,Brooks Ashmanskas",2022,"Michael pensait sa vie parfaite, jusqu’à ce que son mari le quitte subitement au bout de 17 ans. Le voilà confronté à ses deux pires cauchemars : perdre celui qu’il croyait être son âme sœur et se retrouver dans la peau d'un célibataire gay dans la quarantaine à New York.",30 min,Comédie,1 Saison,8 Episodes, U.S.A.,"Darren Star,Jeffrey Richman","3,3","3,6",Uncoupled,
"Oscar Isaac,Ethan Hawke,May Calamawy",Depuis 2022,"Employé discret dans une boutique de souvenirs, Steven Grant est soudain victime de pertes de mémoire et est hanté par des visions d’une autre vie. Il découvre qu’il souffre d’un trouble dissociatif de l’identité et qu’il partage le même corps qu’un mercenaire, Marc Spector. Alors que l’étau se resserre sur Steven / Marc, les deux hommes, plongés dans une aventure périlleuse parmi les puissants dieux d’Égypte, vont devoir trouver leur équilibre dans cette double identité.",45 min,"Action,Aventure,Drame,Fantastique",1 Saison,6 Episodes, U.S.A.,Jeremy Slater,"3,5","3,7",Moon Knight,
"Ryan Eggold,Ryan Eggold,Janet Montgomery",2018 - 2023,"L'hôpital New Amsterdam a la particularité de traiter, sous le même toit, des patients souffrant d'Ebola, des prisonniers d'un pénitencier de haute sécurité et le Président des États-Unis. Cet établissement public sous-financé, véritable institution de Manhattan, est bouleversé par l'arrivée à sa tête d'un nouveau directeur, le Dr Max Goodwin, bien décidé à faire bouger les choses. Mais ses batailles seront multiples, puisqu'il doit également lutter au quotidien contre le cancer qui le ronge...",42 min,"Drame,Médical",5 Saisons,89 Episodes, U.S.A.,David Schulner,"2,7","3,7",New Amsterdam (2018),
"Manuel Garcia-Rulfo,Becki Newton,Angus Sampson",Depuis 2022,"Après une pause dans sa carrière pour se reprendre en mains à la suite d'une dépendance aux antalgiques,,Michael Haller, surnommé ,, est de retour à Los Angeles. Une opportunité rêvée lui est offerte lorsqu'un avocat assassiné lui lègue son cabinet et toute sa clientèle, dont une affaire très médiatisée impliquant une célébrité accusée du meurtre de son épouse et de son amant.",50 min,"Drame,Judiciaire",3 Saisons,30 Episodes, U.S.A.,David E. Kelley,"2,9","3,9",La Défense Lincoln,The Lincoln Lawyer
"Jon Bernthal,Wunmi Mosaku,Jamie Hector",2022,"L'histoire de la ""Gun Trace Task Force"" de la police de Baltimore. Ce groupe de travail a été conçu pour éloigner les criminels violents des rues de Baltimore face à la recrudescence de meurtres dans la ville. L'unité a fini par fonctionner comme une organisation criminelle à part entière, avec des agents qui volent l'argent de personnes qu'ils prétendent suspectes, effectuent des perquisitions illégales, placent des preuves et extorquent de l'argent aux trafiquants de drogue.",60 min,"Policier,Drame,Thriller",1 Saison,6 Episodes, U.S.A.,"David Simon (II),George Pelecanos","3,9","4,0",We Own This City,
"Maxime Gasteuil,Alexandra Roth,Paul Scarfoglio",Depuis 2015,"Tout le monde connaît Jeanne d'Arc, Louis XIV et Napoléon. Leurs cousins en revanche ne sont pas rentrés dans l'histoire... La Petite Histoire de France a decidé de réparer cette erreur.",3 min,"Comédie,Historique",5 Saisons,1 Episode, France,"Jamel Debbouze,Laurent Tiphaine,Frank Cimière","2,9",,La Petite Histoire de France,
"Blanca Suárez,Yon González,Ana Fernández García",2017 - 2020,"Être une femme en 1928 n'était pas simple. Grâce à leur travail de standardiste, quatre jeunes femmes en quête d'indépendance créent une relation qui va changer leur vie.",50 min,"Drame,Historique,Romance",5 Saisons,42 Episodes, Espagne,"Gema R. Neira,Ramón Campos,Teresa Fernández-Valdés","4,0",,Les demoiselles du téléphone,Las Chicas del Cable
"Christina Applegate,Linda Cardellini,James Marsden",2019 - 2022,Une veuve recroquevillée sur sa douleur et une excentrique qui cache un terrible secret se lient d'une forte amitié...,30 min,"Comédie,Drame,Thriller",3 Saisons,30 Episodes, U.S.A.,Liz Feldman,"3,4","4,1",Dead to Me,
"Ben McKenzie,Adam Brody,Peter Gallagher",2003 - 2007,"Lorsque Ryan Atwood arrive à Newport Beach, il est loin de se douter de ce qui l'attend. Située dans le plus riche comté de la Californie, l'Orange County, cette ville abrite les familles les plus aisées et le change radicalement du quartier pauvre où il a grandi. Ryan devra se faire une place au milieu de tout ce beau monde et pourra compter sur le soutien de son nouvel ami Seth, qui a lui aussi fort à faire avec la jolie Summer, dont il est amoureux depuis sa plus tendre enfance mais qui ne le remarque pas...",42 min,Drame,4 Saisons,94 Episodes, U.S.A.,"Josh Schwartz,McG","3,0",,Newport Beach,The O.C.
"Mišel Maticević,Odine Johne,Marc Hosemann",Depuis 2022,"Basse-Lusace, près de la frontière polonaise. L'inspecteur Maik Briegand, qui avait quitté sa région natale avant la chute du Mur, y revient pour élucider le meurtre d'une jeune fille, avec l'aide de la commissaire Annalena Gottknecht. Il se retrouve bientôt confronté à ses anciens collègues, à son mariage raté et à un événement traumatisant qui a marqué sa jeunesse…",45 min,"Policier,Judiciaire,Thriller",1 Saison,6 Episodes, Allemagne,Till Franzen,"3,3",,Crime à ciel ouvert,Lauchhammer - Tod in der Lausitz
,Depuis 2021,Fei-Fei est mère célibataire. Elle est arrêtée par la police après avoir publié sur Youtube une vidéo qui lui attire les foudres de la justice. Fei-Fei se retrouve alors coincée entre son combat judiciaire pour récupérer Jade et son incroyable popularité faisant d’elle la mère la plus trash du web.,10 min,Comédie,1 Saison,8 Episodes," France, Belgique","Xin Wang,Emmanuel Sapolsky",,,Détox,
"Dominic West,Reg E. Cathey,John Doman",2002 - 2008,Quand la police s'efforce de démanteler un réseau tentaculaire de trafic de drogue et du crime à Baltimore.,58 min,"Policier,Drame,Judiciaire,Thriller",5 Saisons,62 Episodes, U.S.A.,"David Simon (II),Ed Burns (II)","4,3",,Sur écoute,The Wire
"Elizabeth Hurley,William Moseley,Alexandra Park",2015 - 2018,"La Reine Helena d'Angleterre est la matriarche d'une famille royale fictive contemporaine qui doit s'efforcer de garder sous contrôle chaque membre afin de véhiculer une image publique acceptable. La tâche est loin d'être aisée, et ses enfants ne rendent pas les choses faciles. Le poids de la couronne pèse plus que jamais sur la jeune génération...",42 min,Drame,4 Saisons,40 Episodes, U.S.A.,Mark Schwahn,"3,9",,The Royals,
"Evin Ahmad,Alexander Abdallah,Ali Alarik",Depuis 2021,"Leya est une jeune mère célibataire qui tente de percer dans le domaine des start-up. Dans ce milieu en pleine effervescence où la quête de gloire et d'argent est d'une rare violence, Leya est prête à tout pour réussir. Mais la jet-set des entrepreneurs et le crime organisé sont plus brutaux, chaotiques et impitoyables que jamais et quand ces deux univers s'entrechoquent, loyauté, amitiés et partenariats commerciaux sont mis à rude épreuve dans une quête inassouvible d'argent facile.",45 min,"Action,Drame,Judiciaire",2 Saisons,12 Episodes, Suède,Jens Lapidus,"4,0",,Snabba Cash,
"Clara Lago,Tamar Novas,Nuno Gallego",Depuis 2024,"Après le meurtre de son père, une avocate découvre qu'il menait une double vie et cherche à le venger. Elle infiltre un cartel galicien et se rapproche de son chef.",45 min,"Drame,Thriller",1 Saison,7 Episodes, Espagne,,"3,0",,Les Clans de la coke,Clanes
"Nicole Wallace,Clara Galle,Ivan Massagué",Depuis 2024,"À 17 ans, Alma en a bientôt fini avec le lycée. Elle connaît depuis l'enfance ses amies Greta et Nata avec qui elle partage tout, des sorties aux ennuis typiques de leur âge : le sentiment d'exclusion, la jalousie, les problèmes avec les parents et même les relations toxiques. Mais quand le profil @Iam_colemanmiller publie sur les réseaux sociaux une photo avec la légende : ""Ça, c'était moi avant qu'on me viole"", plus rien ne semble normal et tout bascule. Comment et quand cette agression s'est-elle produite ? Qui se cache derrière ce profil ? Cette allégation est-elle vraie et si oui, qui en est la victime ?",45 min,Drame,1 Saison,8 Episodes, Espagne,,"3,9",,Ni una más,
"Ncuti Gatwa,Millie Gibson",Depuis 2024,"Grâce à son précieux vaisseau le TARDIS, le Docteur et sa nouvelle compagne de voyage explorent l'espace et le temps à la rencontre d'amis comme d'ennemis.",60 min,"Aventure,Science Fiction",2 Saisons,12 Episodes, Grande-Bretagne,Russell T Davies,"4,1","2,7",Doctor Who (2024),
"Daniel Brühl,Alex Lutz,Théodore Pellerin",Depuis 2024,"En 1972, Karl Lagerfeld, 38 ans, ambitionne de devenir le couturier français le plus reconnu à une époque où Yves Saint Laurent est la figure incontestée de la mode. Tandis qu’il fait la rencontre de Jacques de Bascher, jeune dandy dont il s’éprend, Lagerfeld se mesure à Saint Laurent et Pierre Bergé, à la tête de la plus prestigieuse maison de couture. Entre rivalités de clans et conflits d'egos, fêtes et décadence, amours tragiques et amitiés grandioses, découvrez l'histoire du Kaiser Karl, celle d’une quête éperdue de reconnaissance.",43 min,"Biopic,Drame",1 Saison,6 Episodes, France,"Isaure Pisani-Ferry,Jennifer Have","4,0","4,0",Becoming Karl Lagerfeld,
"Kristine Frøseth,Alisha Boe,Matthew Broome",Depuis 2023,"Filles fortunées, hommes puissants. Nouveaux riches, vieux secrets. Dans les années 1870, un groupe de jeunes Américaines dynamitent la saison mondaine londonienne au mépris des traditions centenaires du pays du flegme par excellence, donnant lieu à un choc des cultures entre l’Angleterre et les Etats-Unis. Envoyées en Angleterre en quête d'un mari et d'un titre, les boucanières ne comptent pas s’arrêter là, et dire ""je le veux"" n’est que le début…",60 min,"Drame,Historique,Romance",2 Saisons,16 Episodes, Grande-Bretagne,Katherine Jakeways,"3,2","3,6",The Buccaneers,
"Joel Edgerton,Jennifer Connelly,Alice Braga",Depuis 2024,"Jason Dessen est un physicien, professeur et père de famille. Une nuit, alors qu’il rentre à pied dans les rues de Chicago, il est enlevé et projeté dans une version alternative de sa vie. L'émerveillement se transforme rapidement en cauchemar lorsqu'il tente de revenir à la réalité, alors plongé dans le paysage hallucinant des vies qu'il aurait pu vivre. Dans ce labyrinthe de réalités, il se lance dans un voyage déchirant pour retrouver sa vraie famille et la sauver de l'ennemi le plus terrifiant et le plus difficile à battre : lui-même.",60 min,"Science Fiction,Thriller",1 Saison,9 Episodes, U.S.A.,Blake Crouch,"3,9","3,9",Dark Matter,
"Benedict Cumberbatch,Gaby Hoffmann,Jeff Hephner",2024,"New York, années 1980. Après la disparition d'Edgar, son fils de neuf ans, sur le chemin de l'école, Vincent se lance dans des recherches désespérées. Considéré comme l'un des meilleurs marionnettistes de la Big Apple, créateur d'une émission pour enfants très populaire, Vincent essaie de supporter l'absence de son fils, mais rongé par le chagrin, peu à peu il perd pied. Dégoûté de lui-même et accablé par la culpabilité, il s'accroche à Eric, une marionnette dessinée par Edgar, convaincu de pouvoir porter ce personnage de monstre bleu à l'écran quand son fils reviendra. Alors que le comportement de plus en plus destructeur de Vincent l'éloigne de sa famille, de ses collègues et des enquêteurs qui essaient de l'aider, Eric, une illusion née de la nécessité, devient son seul allié dans sa quête pour retrouver son fils.",60 min,"Drame,Thriller",1 Saison,6 Episodes, Grande-Bretagne,Abi Morgan,"3,8","3,7",Eric,
"Amandla Stenberg,Jung-jae Lee,Charlie Barnett",Depuis 2024,"Alors que l’Ordre Jedi est à son apogée et que la prospérité règne dans la Haute République, plusieurs crimes mystérieux sont perpétrés. Un maître Jedi respecté va mener une enquête qui va l’opposer à une dangereuse guerrière issue de son passé. Au fur et à mesure que de nouveaux indices apparaissent, tous deux s'engagent sur un chemin obscur où des forces sinistres vont leur montrer que tout n'est pas toujours ce qu'il semble être...",60 min,"Aventure,Science Fiction,Thriller",1 Saison,8 Episodes, U.S.A.,Leslye Headland,"3,3","1,8",Star Wars : The Acolyte,Star Wars: The Acolyte
"Matt Smith (XI),Emma D'Arcy,Olivia Cooke",Depuis 2022,"L'histoire de la famille Targaryen, près de 200 ans avant les événements de ""Game Of Thrones"". Alors que le Roi Viserys règne sur Westeros, la question de sa succession inquiète. Sans progéniture mâle, qui prendra sa suite ? Avec pas moins de 10 dragons adultes sous leur contrôle, les Targaryen dominent le Royaume des Sept Couronnes depuis fort longtemps. La seule puissance capable de les renverser est la Maison Targaryen elle-même. Les tensions, trahisons et jalousies qui secouent le clan en interne leur seront-elles fatales ?",60 min,"Drame,Fantastique",3 Saisons,18 Episodes, U.S.A.,"George R.R. Martin,Ryan J. Condal","3,5","4,2",Game of Thrones: House of the Dragon,
"Jake Gyllenhaal,Ruth Negga,Bill Camp",Depuis 2024,Un brillant procureur se retrouve tout à coup accusé du meurtre d'une jeune et ambitieuse collègue avec laquelle il vient d'avoir une liaison passionnelle.,60 min,"Drame,Thriller",1 Saison,8 Episodes, U.S.A.,David E. Kelley,"3,8","3,7",Présumé innocent,Presumed Innocent
"Karl Urban,Karl Urban,Jack Quaid",Depuis 2019,"Dans un monde fictif où les super-héros se sont laissés corrompre par la célébrité et la gloire et ont peu à peu révélé la part sombre de leur personnalité, une équipe de justiciers qui se fait appeler ""The Boys"" décide de passer à l'action et d'abattre ces super-héros autrefois appréciés de tous.",60 min,"Action,Drame,Science Fiction",5 Saisons,40 Episodes, U.S.A.,Eric Kripke,"3,6","4,4",The Boys,
"Fred Bianconi,Melanie Maudran,Yvon Back",Depuis 2018,"Claire revient à Montpellier après dix sept ans d’absence, afin de faire découvrir à Théo, son fils adolescent, sa ville natale. Quelques heures plus tard, elle est en garde à vue, accusée du meurtre d’un ami d’enfance. Pour se disculper, Claire n’aura d’autre choix que de percer tous les secrets du passé, notamment celui de la mort de sa sœur Angèle…,Tout en se confrontant à Manu, chargé d’enquêter sur le meurtre dont elle est accusée, elle retrouvera également Julien, sa passion de jeunesse, qui a entre-temps fondé une famille. Assumera-t-elle les sentiments qu’elle ressent tour à tour pour les deux hommes ?",26 min,"Drame,Feuilleton",6 Saisons,1433 Episodes, France,"Olivier Szulzynger,Eline Le Fur,Cristina Arellano","2,8","1,7",Un Si Grand Soleil,
"Nicola Coughlan,Luke Newton,Claudia Jessie",Depuis 2020,"À Londres, pendant la Régence, Daphne Bridgerton, fille aînée d'une puissante dynastie, est censée se trouver un mari, mais la concurrence est rude et ses envies sont ailleurs...",60 min,"Drame,Historique,Romance",4 Saisons,24 Episodes, U.S.A.,"Chris Van Dusen,Shonda Rhimes","3,8","3,8",La Chronique des Bridgerton,Bridgerton
"Virginie Ledoyen,Charlie Dupont,Lannick Gautry",Depuis 2024,"Esther et Fred Cavalieri forment un couple flamboyant et profondément uni à leurs deux enfants. Alors pourquoi Esther, une femme en apparence sans histoire et sans ennemi, se retrouve-t-elle en danger de mort ? Pour la protéger, Fred embauche Mathias, un garde du corps, le temps que la police trouve le coupable. Seulement, dans leur promiscuité quotidienne, Esther et Mathias vont développer une intimité les attirant irrémédiablement l’un vers l’autre. Et cette tension sensuelle est un vrai danger pour cette famille. Esther peut-elle continuer à faire confiance à ses proches ? Qui veut du mal aux Cavalieri ?",52 min,"Drame,Romance",1 Saison,4 Episodes, France,"Fabienne Lesieur,Johanne Rigoulot","3,1","2,5",Contre toi,
,Depuis 2024,"A Édimbourg, John Rebus est entraîné dans un violent conflit criminel qui devient personnel lorsque son frère Michael, un ancien soldat, franchit la ligne qui le sépare de la criminalité.",,Policier,1 Saison,6 Episodes, Grande-Bretagne,Gregory Burke,,,Rebus (2024),
"Gordon Cormier, Kiawentiio,Ian Ousley",Depuis 2024,"Les nations de l'Eau, de la Terre, du Feu et de l'Air vivaient autrefois en harmonie et l'Avatar, maître des quatre éléments, garantissait la paix entre elles. Mais tout a changé lorsque la Nation du Feu a attaqué et décimé les Nomades de l'Air dans une première manoeuvre de conquête du monde. Alors que l'incarnation actuelle de l'Avatar tarde à émerger, le monde perd espoir. Cependant, l'espérance renaît comme une lumière dans la nuit lorsqu'Aang, un jeune Nomade de l'Air — et le dernier représentant de son peuple — sort de son sommeil pour revendiquer sa place légitime de nouvel Avatar. Accompagné de ses nouveaux amis Sokka et Katara, un frère et une soeur membres de la Tribu de l'Eau du pôle Sud, Aang se lance dans une quête où se mêlent le fantastique et l'action. Il lui faut sauver le monde et repousser la terrifiante offensive du seigneur du Feu Ozai, une mission d'autant plus difficile que le prince héritier Zuko est bien décidé à les capturer, lui et ses amis. Mais ils pourront compter sur l'aide de nombreux alliés et personnages hauts en couleur rencontrés au cours de leurs aventures.",60 min,"Action,Aventure,Fantastique",3 Saisons,8 Episodes, U.S.A.,"Michael Dante DiMartino,Bryan Konietzko","3,7","3,9",Avatar : Le dernier maître de l'air,Avatar: The Last Airbender
"Bill Pullman,Frances Fisher,Alice Kremelberg",2017 - 2021,"Le brillant enquêteur Harry Ambrose est confronté chaque saison à une affaire criminelle complexe et dérangeante, qui l'amène à sonder les sombres recoins de l'âme humaine.",42 min,"Policier,Drame,Thriller",4 Saisons,32 Episodes, U.S.A.,Derek Simonds,"4,0",,The Sinner,
"Woo-hee Chun,Ki-yong Jang,So-yi Park",Depuis 2024,"Dotés de superpouvoirs, un homme et sa famille voient leurs capacités décliner sous le poids du monde, jusqu'à l'arrivée d'une femme mystérieuse qui change tout.",60 min,Drame,1 Saison,12 Episodes, Corée du Sud,"Eun-kyung Kang,Joo Hwa-mi","3,4",,Une famille atypique,The Atypical Family
"Rebecca Ferguson,Amanda Hale,Faye Marsay",2013,"En 1464, l'Angleterre est en guerre depuis neuf ans. Deux familles, les York et les Lancaster, s'opposent violemment pour s'emparer du trône. Entre manigances, déceptions et trahisons, trois femmes - Elizabeth Woodville, Margaret Beaufort et Anne Neville - vont avoir un rôle déterminant dans l'Histoire. Chacune va défendre à sa façon sa cause et celle des êtres aimés.",52 min,"Drame,Historique",1 Saison,10 Episodes, Grande-Bretagne,Emma Frost,"3,2","4,0",The White Queen,
"Candela Peña,Tristán Ulloa,Vianessa Castaños",2024,"Une nouvelle mini-série de fiction sur le meurtre, en 2013, d'Asunta Basterra, l'une des affaires les plus atroces survenues en Espagne.",50 min,Drame,1 Saison,6 Episodes, Espagne,Ramón Campos,"3,7",,L'affaire Asunta,El caso Asunta
"Lucas Till,Tristin Mays,Justin Hires",2016 - 2021,"Agé d'une vingtaine d'années, MacGyver, qui possède un don unique pour la débrouille et des méthodes peu orthodoxes pour parvenir à ses fins, travaille pour le gouvernement au sein d'une organisation secrète dont le but est de sauver des vies.",42 min,"Action,Aventure,Drame",5 Saisons,94 Episodes, U.S.A.,"Paul Downs Colaizzo,Brett Mahoney","1,9","2,3",MacGyver (2016),
"Robin Renucci,Robin Renucci,Audrey Fleurot",2009 - 2017,"En juin 40, Villeneuve, petite ville du centre de la France, est bouleversée par l'arrivée de l'armée allemande. L'Occupation vient de commencer et va durer cinq ans. Hortense, Jean, Raymond, Marie étaient des Françaises et des Français ordinaires, maris, femmes, notables ou paysans... ils deviendront patriotes, traîtres, collaborateurs ou résistants. Après s'être effondrée, la France se reconstruit jour après jour, mais à l'heure allemande. Avec cette période incertaine et dangereuse de notre histoire s'ouvre une ère nouvelle : aux règles imposées par l'occupant répondent celles de la désobéissance civile ou de la clandestinité. On y a peur, on y a faim, on s'y déchire au nom des valeurs et d'une certaine idée de la France... ou parfois simplement par amour.",52 min,"Drame,Historique",7 Saisons,72 Episodes, France,"Frédéric Krivine,Philippe Triboit,Emmanuel Daucé","4,3",,Un Village Français,
